,Heartrate,TotalSteps,sleepMin,Label
0,64.86376812,8328,528,First
1,61.05882353,8328,528,First
2,59.72093023,8328,528,First
3,58.93510324,8328,528,First
4,58.59011628,8328,528,First
5,60.11076923,8328,528,First
6,66.85542169,8328,528,First
7,83.63655914,8328,528,Second
8,78.60348584,8328,528,Third
9,69.95275591,8328,528,First
10,69.05011933,8328,528,First
11,66.42257218,8328,528,First
12,66.72093023,8328,528,First
13,79.20560748,8328,528,Second
14,72.12171838,8328,528,First
15,70.55023923,8328,528,First
16,69.67228916,8328,528,First
17,64.28292683,8328,528,First
18,73.37892377,8328,528,First
19,69.44132653,8328,528,First
20,73.83816425,8328,528,First
21,65.49077491,8328,528,First
22,70.43882979,8328,528,First
23,69.5379538,12409,388,First
24,69.03858521,12409,388,First
25,68.93333333,12409,388,First
26,66.56586826,12409,388,First
27,66.82568807,12409,388,First
28,65.31438127,12409,388,First
29,74.52941176,12409,388,First
30,77.49616368,12409,388,First
31,68.11504425,12409,388,First
32,65.80719794,12409,388,First
33,65.05263158,12409,388,First
34,71.28676471,12409,388,First
35,72.78337531,12409,388,First
36,63.82507289,12409,388,First
37,65.89784946,12409,388,First
38,85.52877698,12409,388,Second
39,113.7515873,12409,388,Second
40,76.75837321,12409,388,First
41,86.52980132,12409,388,Second
42,82.98076923,12409,388,Second
43,72.69436997,12409,388,First
44,70.28971963,12409,388,First
45,68.81491713,12409,388,First
46,65.98901099,12409,388,First
47,53.63609467,10461,413,First
48,49.85207101,10461,413,First
49,48.60681115,10461,413,First
50,46.48632219,10461,413,First
51,46.70121951,10461,413,First
52,58.96601942,10461,413,First
53,89.10429448,10461,413,Second
54,69.6314433,10461,413,First
55,62.06366048,10461,413,First
56,69.17962466,10461,413,First
57,66.10386473,10461,413,First
58,84.46370023,10461,413,Second
59,59.63943662,10461,413,First
60,57.95518207,10461,413,First
61,54.96590909,10461,413,First
62,55.83333333,10461,413,First
63,58.65116279,10461,413,First
64,66.47016706,10461,413,First
65,60.90225564,10461,413,First
66,115.31818179999999,10461,413,Second
67,73.91139241,10461,413,First
68,63.31016043,10461,413,First
69,53.91772152,10461,413,First
70,52.77887789,10461,413,First
71,63.49833887,10467,536,First
72,60.42361111,10467,536,First
73,61.48494983,10467,536,First
74,62.89096573,10467,536,First
75,59.29870129999999,10467,536,First
76,61.1910828,10467,536,First
77,60.07911392,10467,536,First
78,62.328125,10467,536,First
79,61.7721519,10467,536,First
80,76.67040359,10467,536,First
81,91.94402985,10467,536,Second
82,80.23076923,10467,536,Second
83,107.99550559999999,10467,536,Second
84,75.31367292,10467,536,First
85,67.26162791,10467,536,First
86,76.06870229,10467,536,First
87,76.65929204,10467,536,First
88,75.54605263,10467,536,First
89,75.41012658,10467,536,First
90,77.36658354,10467,536,First
91,86.80519481,10467,536,Second
92,75.10126582,10467,536,First
93,72.75725594,10467,536,First
94,70.72413793,10467,536,First
95,62.26356589,1229,568,Third
96,70.84883721,1229,568,Third
97,69.66666667,1229,568,Third
98,70.76993865,15459,458,First
99,76.60946746,15459,458,First
100,77.33114754,15459,458,First
101,75.33923304,15459,458,First
102,70.66369048,15459,458,First
103,70.25730994,15459,458,First
104,70.80246914,15459,458,First
105,68.74117647,15459,458,First
106,73.34278959999999,15459,458,First
107,84.85208333,15459,458,Second
108,113.7022375,15459,458,Second
109,84.11883408,15459,458,Second
110,82.87261146,15459,458,Second
111,79.87323944,15459,458,Second
112,81.81670534,15459,458,Second
113,81.86089239,15459,458,Second
114,86.40506329,15459,458,Second
115,88.90380762,15459,458,Second
116,87.12421053,15459,458,Second
117,78.80348259,15459,458,Second
118,82.49643705,15459,458,Second
119,85.00450450000001,15459,458,Second
120,75.73170732,15459,458,First
121,73.16129032,15459,458,First
122,69.14782609,19658,556,First
123,62.09455587,19658,556,First
124,62.38575668,19658,556,First
125,60.53030303,19658,556,First
126,56.80606061,19658,556,First
127,58.88252149,19658,556,First
128,59.37393768,19658,556,First
129,62.86058981,19658,556,First
130,86.78854626,19658,556,Second
131,92.15139442,19658,556,Second
132,91.51291513,19658,556,Second
133,90.00186916,19658,556,Second
134,91.92948718,19658,556,Second
135,96.46341463,19658,556,Second
136,94.01438849,19658,556,Second
137,86.80952381,19658,556,Second
138,94.52857143,1988,464,Third
139,93.52857143,1988,464,Third
140,92.51162791,1988,464,Third
141,85.12931034,1988,464,Third
142,82.30254777,1988,464,Third
143,81.6994382,1988,464,Third
144,79.50862069,1988,464,Third
145,85.66755319,1988,464,Third
146,88.32160804,1988,464,Third
147,90.75,1988,464,Third
148,83.92916667,1988,464,Third
149,70.0,1988,464,Third
150,70.0,1988,464,Third
151,70.0,1988,464,Third
152,81.14285714,1988,464,Third
153,70.66666667,1988,464,Third
154,79.5,1988,464,Third
155,69.49562682,12437,414,First
156,68.21301775,12437,414,First
157,60.95192308,12437,414,First
158,61.15277778,12437,414,First
159,59.52698413,12437,414,First
160,59.82508251,12437,414,First
161,60.23225806,12437,414,First
162,59.89935065,12437,414,First
163,70.24468085,12437,414,First
164,75.71827411,12437,414,First
165,66.46760563,12437,414,First
166,114.4412983,12437,414,Second
167,95.93961353,12437,414,Second
168,77.86821705,12437,414,First
169,73.98882682,12437,414,First
170,77.84073107,12437,414,First
171,104.27446809999999,12437,414,Second
172,83.27160494,12437,414,Second
173,87.31701031,12437,414,Second
174,76.27604167,12437,414,First
175,74.46963563,12437,414,First
176,69.52556818,12437,414,First
177,70.27671233,12437,414,First
178,66.2767624,12437,414,First
179,80.0,10976,68,Fourth
180,95.38761468,10976,68,Fourth
181,70.592,10976,68,Fourth
182,82.85202864,10976,68,Fourth
183,106.1719858,10976,68,Fourth
184,106.49790790000002,10976,68,Fourth
185,94.48809524,10976,68,Fourth
186,88.64814815,10976,68,Fourth
187,85.37564767,10976,68,Fourth
188,76.25368732,10976,68,Fourth
189,74.08823529,10976,68,Fourth
190,77.8102981,10976,68,Fourth
191,81.37817259,10976,68,Fourth
192,86.69613259999998,10976,68,Fourth
193,69.97681159,10976,68,Fourth
194,68.78208955,10976,68,Fourth
195,69.66871166,7485,477,Third
196,68.83174603,7485,477,Third
197,66.38278932,7485,477,First
198,65.55016181,7485,477,First
199,64.6416185,7485,477,First
200,62.30246914,7485,477,First
201,62.03151862,7485,477,First
202,63.71559633,7485,477,First
203,77.0310559,7485,477,Third
204,78.47513812,7485,477,Third
205,73.74311927,7485,477,Third
206,81.53004292,7485,477,Second
207,70.95755968,7485,477,Third
208,77.67076167,7485,477,Third
209,73.44366197,7485,477,Third
210,83.40855107,7485,477,Second
211,96.75342466,7485,477,Second
212,77.8847185,7485,477,Third
213,81.32489451,7485,477,Third
214,81.88683128,7485,477,Second
215,79.82045455,7485,477,Third
216,78.36220472,7485,477,Third
217,71.73442623,7485,477,Third
218,68.31446541,7485,477,Third
219,68.01685393,6176,363,Third
